genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ304129,Z01B,Tetramesa,Zimbabwe,Androgpogon gayanus,2022,f,16.921 S 30.813 E,
OQ304130,Z01A,Tetramesa,Zimbabwe,Androgpogon gayanus,2022,f,16.921 S 30.813 E,
OQ304131,GFS_PHI_1028F,Tetramesa sp. 26,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304132,GFS_PHI_1052F,Eurytomidae,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304133,GFS_PHI_1201F,Eurytomidae,South Africa: Phinda,Eragrostis rigidior,,f,27.891 S 32.21 E,
OQ304134,KCP_2020_00194,Tetramesa sp. 24,"South Africa: Kombuisland farm, Marquard",Eragrostis capensis,2022,f,28.769 S 27.527 E,
OQ304135,KCP_2020_00245,Tetramesa sp. 5,"South Africa: Kombuisland farm, Marquard",Eragrostis curvula,2022,f,28.756 S 27.558 E,
OQ304136,KCP_2020_00247,Eurytomidae,South Africa,Phragmites mauritianus,2015,f, ,
OQ304137,LMY_2022_00008,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ304138,LMY_2022_00090,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ304139,LMY_2022_00098,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ304140,LMY_2022_00108,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ304141,LMY_2022_00139,Tetramesa sp. 1,South Africa: East London,Panicum maximum,,f,32.704 S 27.483 E,
OQ304142,LMY_2022_00152,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ304143,LMY_2022_00177,Tetramesa sp. 1,South Africa: East London,Panicum maximum,,f,32.704 S 27.483 E,
OQ304144,LMY_2021_00289,Tetramesa sp. 5,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ304145,LMY_2021_00231,Tetramesa sp. 5,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
