genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ302594,GFS_2021_00750,Eurytomidae,"South Africa: Mkuze Bus stop, Mkuze",Eragrostis trichophora,2021,f,27.622 S 32.025 E,
OQ302595,Z01A,Tetramesa,Zimbabwe,Androgpogon gayanus,2022,,16.921 S 30.813 E,
OQ302596,Z01B,Tetramesa,Zimbabwe,Androgpogon gayanus,2022,,16.921 S 30.813 E,
OQ302597,GFS_2021_00805,Tetramesa sp. 8,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,m,28.033 S 32.283 E,
OQ302598,GFS_PHI_1200F,Tetramesa sp. 2,South Africa: Phinda,Sporobolus pyramidalis,2021,,27.891 S 32.21 E,
OQ302599,KCP_2021_00233,Tetramesa sp. 20,"South Africa: Kombuisland farm, Marquard",Eragrostis plana,2022,,28.756 S 27.558 E,
OQ302600,LMY_2022_00008,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ302601,LMY_2022_00090,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ302602,LMY_2022_00098,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ302603,LMY_2022_00108,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ302604,LMY_2022_00139,Tetramesa sp. 1,South Africa: East London,Panicum maximum,,f,32.704 S 27.483 E,
OQ302605,LMY_2022_00152,Tetramesa sp. 1,South Africa: East London,Sporobolus sp.,,f,32.704 S 27.483 E,
OQ302606,LMY_2022_00177,Tetramesa sp. 1,South Africa: East London,Panicum maximum,,f,32.704 S 27.483 E,
OQ302607,LMY_2021_00289,Tetramesa sp. 5,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ302608,LMY_2021_00282,Tetramesa sp. 5,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ302609,LMY_2021_00231,Tetramesa sp. 5,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ302610,LMY_2021_00220,Tetramesa sp. 4,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
OQ302611,LMY_2021_00197,Tetramesa sp. 4,South Africa,Eragrostis curvula,,,30.347 S 24.563 E,
